#,ステータス,プロジェクト,トラッカー,優先度,題名,担当者,カテゴリ,対象バージョン,作成者,開始日,期日,進捗 %,予定工数,親チケット,作成日,更新日,ブラウザ,発生するバージョン V4.1,受信プロトコル,外部非公開,説明
3273,FIXED,xgate 4.X,バグ,通常,印刷時に文字位置がずれる,宮内 邦昭,ベーシックメーラー,v4.13.7,宮内 邦昭,2017/08/22,"",0,"","",2017/08/22 12:09,2017/08/22 12:12,"",v4.13.0,"",いいえ,"空白スペースで桁合わせをした一覧表などの内容を持つテキストメールを印刷すると、桁位置が合わない行がある。
メインウィンドウでのメール内容の表示で問題ないが、印刷ウィンドウ上での表示ではずれて表示されている。"
3272,FIXED,xgate 4.X,バグ,通常,charsetがCP932の場合にメール本文がソース表示される,日比野 洋克,ベーシック・モバイルメーラー,v4.13.7,Oshiki Kenuchi,2017/08/18,"",0,"","",2017/08/18 10:05,2017/08/21 11:11,"",v4.13.0,"",いいえ,"charsetがCP932の場合にメール本文がソース表示される
(HTMLメール、テキストメール両方)
エンコード種類を日本語（Shift_JIS）変更すると正しく表示される

ブロードバンドセキュリティ浦野様からの指摘
org#20170817108607 ― webメールにてメール内容がソースで表示される
"
3271,FIXED,xgate 4.X,バグ,通常,「全員への返信は常に元メールのTo/Ccをコピーする」の設定がOFFにできない,日比野 洋克,ベーシックメーラー,v4.13.7,日比野 洋克,2017/08/16,"",0,"","",2017/08/16 04:15,2017/08/16 04:19,"",v4.13.0,"",いいえ,"設定→
基本設定→
メール作成タブ→
全員への返信は常に元メールのTo/Ccをコピーするのチェックを外す→
OK→
ログアウト
と進み、
再度ログイン後、同じ画面を確認するとチェックが入っております。
"
3270,FIXED,xgate 4.X,バグ,通常,IMAP接続時のコネクション数の削減（IMAPサーバーの負荷削減）,日比野 洋克,ベーシック・モバイルメーラー,v4.13.7,日比野 洋克,2017/07/20,"",0,"","",2017/07/20 13:18,2017/07/20 13:18,"",v4.13.0,"",いいえ,"使用しているIMAPのコネクション数を削減した。
・同一スレッド内でFolder objectを使いまわす
・closeコマンドをできるだけ出さないようにして、Folder objectを使いまわす機会を増やす。
"
3269,FIXED,xgate 4.X,バグ,通常,複数メールのエクスポートで処理中にメール数分だけファイルディスクリプタを消費してしまう,日比野 洋克,ベーシックメーラー,v4.13.7,日比野 洋克,2017/07/19,"",0,"","",2017/07/19 12:32,2017/07/19 12:32,"",v4.5.0,"",いいえ,"1メール処理毎にcloseしていたつもりだったが、実装では全く効果がなかった。
"
3259,FIXED,xgate 4.X,バグ,通常,「全員への返信は常に元メールのTo/Ccをコピーする」の変更が反映されない,日比野 洋克,ベーシックメーラー,v4.13.7,Oshiki Kenuchi,2017/05/29,"",0,"","",2017/05/29 14:20,2017/06/02 10:58,"",v4.13.0,"",いいえ,"設定→
基本設定→
メール作成タブ→
全員への返信は常に元メールのTo/Ccをコピーするのチェックを外す→
OK→
ログアウト
と進み、
再度ログイン後、同じ画面を確認するとチェックが入っている。"
3256,FIXED,xgate 4.X,バグ,通常,未読にしたメールがフォルダ移動後既読になってしまう,日比野 洋克,モバイルメーラー（スマホ）,v4.13.7,Oshiki Kenuchi,2017/05/25,"",0,"","",2017/05/25 09:59,2017/06/02 11:00,android,v4.13.0,"",いいえ,"モバイルメーラー(スマートフォン)にて、特定のメールデータを選択した状態で「未読にする」ボタンを押す。
一覧画面に戻ると未読になっているが、そこから他のフォルダに移動すると既読に戻ってしまう。
"
3255,FIXED,xgate 4.X,バグ,通常,localhost以外のホストからのユーザーの削除などのリクエストが処理されない,日比野 洋克,外部API,v4.13.7,日比野 洋克,2017/05/22,"",0,"","",2017/05/22 12:00,2017/05/22 12:02,"",v4.5.0,"",いいえ,"デフォルトではlocalhostからのリクエストなので問題ないが、バーチャルホストなどで運用したときに、ホストを変更すると、リクエストが拒否されて動作しない。
"
3254,FIXED,xgate 4.X,バグ,通常,xgate.logにログが出力されず、xgate.yyyymmdd.logにログが出力されてしまう,日比野 洋克,ログ管理,v4.13.7,日比野 洋克,2017/04/20,"",0,"","",2017/04/20 11:46,2017/06/19 09:33,"",v4.13.0,"",いいえ,"logback.xmlの設定が不足していて、
xgate.yyyymmdd.logにしかログが出力されていなかった。
"
3253,FIXED,xgate 4.X,バグ,通常,マニュアルに4.13.0〜4.13.6の修正内容を反映させる,Yamada Satoshi,マニュアル,v4.13.7,Yamada Satoshi,2017/04/20,"",0,"","",2017/04/20 10:18,2017/06/20 12:33,"",v4.13.0,"",いいえ,"マニュアル(※)に4.13.0〜4.13.6の修正内容を反映させる。
※モバイル・スマホ除く

確認対象：
・カテゴリ：ベーシックメーラー、ベーシック・モバイルメーラー、
　　　　　　グループ管理、システム管理、全体運用管理
・対象バージョン：4.13.0〜4.13.6
　計99チケット（このうち反映されていないものを洗い出す）

修正対象：(4.13.X 版)
1.ユーザーズマニュアルベーシックメーラー編
2.システム管理者マニュアル
3.全体運用マニュアル
4.グループ管理者マニュアル
5.インストールマニュアル
6.LDAP連携設定マニュアル
7.共有アカウント設定マニュアル
8.xgate4制限事項
"
3251,FIXED,xgate 4.X,バグ,通常,ガラケーで宛先が多いときの警告画面が表示されたとき、メールの送信に失敗する,日比野 洋克,モバイルメーラー(ガラケー),v4.13.7,日比野 洋克,2017/04/14,"",0,"","",2017/04/14 12:27,2017/04/14 12:27,"",v4.13.0,"",いいえ,"ガラケー用のjsp内のformパラメータが不足していた
"
3247,FIXED,xgate 4.X,バグ,通常,メール送信で拡張子.shを添付ファイルで送ると、行末の改行コードがLFからCRLFに変換されてしまう。,日比野 洋克,ベーシック・モバイルメーラー,v4.13.7,Oshiki Kenuchi,2017/04/10,"",0,"","",2017/04/10 09:57,2017/04/13 09:59,"",v4.13.0,"",いいえ,"拡張子が.shの添付ファイルは、改行コードがLFの場合、CRLFに変換されてしまう。
拡張子が.shはテキスト形式と解釈してしまい、base64でエンコードしないため。
"
3246,FIXED,xgate 4.X,バグ,通常,受信メールの題名や発信者などが文字コードGB2312のときに化ける,日比野 洋克,ベーシック・モバイルメーラー,v4.13.7,日比野 洋克,2017/04/04,"",0,"","",2017/04/04 10:48,2017/04/04 11:06,"",v4.13.0,"",いいえ,"GB2312といいつつ、上位互換のgb18030で送ってくるため。
"
3245,FIXED,xgate 4.X,バグ,通常,文字コードがGB9312のとき受信メールが文字化けする（送信元 Thunderbird）,日比野 洋克,ベーシック・モバイルメーラー,v4.13.7,日比野 洋克,2017/03/24,"",0,"","",2017/03/24 14:40,2017/04/04 10:47,"",v4.13.0,"",いいえ,"添付メールのように発生。

http://d.hatena.ne.jp/mizuno_takaaki/20080203
http://carz.air-nifty.com/sowhat/2011/12/gb2312-976b.html

によると、GB9312といいながら、上位互換の文字コード（GBK）で送っているらしい。
"
3244,FIXED,xgate 4.X,バグ,通常,文字コードがGB9312のとき受信メールが文字化けする（送信元 outlook）,日比野 洋克,ベーシック・モバイルメーラー,v4.13.7,日比野 洋克,2017/03/24,"",0,"","",2017/03/24 09:47,2017/04/04 10:47,"",v4.13.0,"",いいえ,"添付メールのように発生。

http://d.hatena.ne.jp/mizuno_takaaki/20080203
http://carz.air-nifty.com/sowhat/2011/12/gb2312-976b.html

によると、GB9312といいながら、上位互換の文字コード（GBK）で送っているらしい。
"
3241,FIXED,xgate 4.X,バグ,通常,書式付きテキストでメールを作成した場合、半角カナが全角カナに変換されない,宮内 邦昭,ベーシックメーラー,v4.13.7,宮内 邦昭,2017/03/08,"",0,"","",2017/03/08 16:04,2017/03/09 08:07,"",v4.13.0,"",いいえ,"書式付きテキストでメールを作成した場合、半角カナが全角カナに変換されない。
書式なしテキストの場合には半角カナから全角カナへの変換はおこなわれる。"
3240,FIXED,xgate 4.X,バグ,通常,スレッド検索でサーバー側タイムアウトの時、それまでに検索されたスレッドが表示されない,宮内 邦昭,ベーシックメーラー,v4.13.7,宮内 邦昭,2017/03/08,"",0,"","",2017/03/08 16:02,2017/03/08 16:03,"",v4.13.3,"",いいえ,スレッド検索でサーバー側タイムアウトの時、それまでに検索されたスレッドは検索結果として返されるのに表示がおこなわれない
3222,FIXED,xgate 4.X,バグ,通常,「添付ファイル付きメールの添付形式の転送」を禁止しても、転送で添付ファイルが付加されてしまう,日比野 洋克,ベーシック・モバイルメーラー,v4.13.7,日比野 洋克,2016/07/13,"",0,"","",2016/07/13 08:24,2017/03/08 13:42,"",v4.13.0,"",いいえ,"自動下書き保存の実装時の対応漏れ。
"
